censuscode,s_nl,m_nl,s_bu,m_bu,DISTRICT,ST_NM,closed_shrublands,deciduous_broadleaf_forest,deciduous_needleleaf_forest,evergreen_broadleaf_forest,evergreen_needleleaf_forest,grasslands,mixed_forest,open_shrublands,savannas,woody_savannas,sumVegetation,percentageVegetation,water,urban,percentUrban,totalArea,SOL,SOLperUrbanArea,croplands,percentCroplands,barren_or_sparsely_vegetated,No_HH,ELG_POP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSL_INT,MSL_ADV,MSW_RUD,MSW_INT,MSW_ADV,EMP_AL,EMP_NAL,EMP_UN,District_HHD_Cluster_MSL,District_HHD_Cluster_MSW,District_HHD_Cluster_CHH,District_HHD_Cluster_FC,District_HHD_Cluster_BF,District_HHD_Cluster_EMP
108,77587.02725,0.012385458,23981.58824,0.003828255,Sawai Madhopur,Rajasthan,237764.0265,7383599.328,0,0,0,8.08E+07,1.05E+07,7.48E+07,894713.6094,1.42E+08,3.17E+08,6.29E-02,0,2.21E+07,4.39E-03,5.04E+09,2.10E+10,9.50E+02,4.69E+09,9.32E-01,3189821.773,303301,1364966,70.88305314,2.030227728,25.40425056,47.47653156,48.68537229,3.845358241,39.28518139,37.12471241,23.30644343,37.57901754,61.8528353,17.86429553,53.78634393,28.35183432,21.05246578,14.45742971,51.79748067,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,2. High AL
109,282260.4855,0.064906869,53339.72157,0.012265671,Dausa,Rajasthan,0,0,0,0,0,2442136.109,0,41962.68235,0,2177274.183,4.66E+06,1.34E-03,0,8878214.344,2.55E-03,3.48E+09,3.35E+10,3.77E+03,3.46E+09,9.96E-01,0,328310,1551359,75.95897414,1.202223813,21.81073467,52.87274314,42.64418263,4.484754653,57.29240139,24.51424842,18.01875301,29.13830465,70.21563065,11.65631415,63.52134263,24.81813804,21.88274925,14.06482961,52.10154452,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
11,2.305193901,1.60E-06,2,1.39E-06,Ganderbal,Jammu & Kashmir,0,412055.9844,1030334.703,0,9.25E+07,6.88E+08,5.42E+07,1.17E+07,2916018.135,8642726.582,8.60E+08,8.04E-01,2987607.368,0,0.00E+00,1.07E+09,1.31E+07,1.22E-02,3.19E+07,2.98E-02,1.75E+08,52327,285651,24.5631242,7.790706519,32.89690026,51.25210503,40.59899096,8.153654901,64.03887668,4.843768991,30.58456246,3.489189138,90.34763698,13.72521643,3.789898141,82.48375408,4.036744139,17.93622287,58.9422057,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement
110,5770454.734,0.409205517,639853.5843,0.045374521,Jaipur,Rajasthan,222190.1406,1773587.375,0,0,0,2.19E+08,7763163.188,3.92E+07,0,9785566.872,2.78E+08,2.47E-02,2628403.572,2.26E+08,2.01E-02,1.13E+10,1.35E+11,5.98E+02,1.07E+10,9.51E-01,4.68E+07,3080451,14199636,22.89117986,4.518733426,72.24909768,68.23111707,30.26707271,1.521548306,28.10142814,5.170350348,66.31309195,6.313682834,93.24996395,12.93833198,21.0785759,65.93948006,5.398053866,29.70362057,60.48062077,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL
111,237897.7716,0.024555826,89734.21569,0.009262372,Sikar,Rajasthan,0,0,0,0,0,1.05E+08,0,5.17E+08,0,440573.7656,6.22E+08,8.09E-02,0,5.59E+07,7.26E-03,7.69E+09,7.63E+10,1.37E+03,7.02E+09,9.12E-01,0,585291,3066793,40.98987991,13.20503271,45.68083705,68.23553942,29.46588227,2.313127487,56.61414732,2.848055924,40.31481144,18.72248369,80.60888669,9.021108816,26.71679148,64.26441992,12.06967669,17.92403335,58.85098864,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,1. High Unemployement
112,281936.396,0.012745808,76109.87059,0.003440782,Nagaur,Rajasthan,221896.1563,0,0,0,0,3.81E+08,445299.1406,3.22E+09,0,0,3.61E+09,2.04E-01,1587805.132,1.19E+08,6.75E-03,1.77E+10,8.22E+10,6.90E+02,1.38E+10,7.82E-01,1.28E+08,719627,3554359,54.78357107,6.519609047,35.18549262,53.71993977,41.31833686,4.966757362,67.67299893,6.003459431,26.03555759,32.86304711,66.23667775,42.79606616,9.429645497,47.77745652,18.37177955,15.63936001,52.62400337,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement
113,5608850.232,0.196334074,672224.5294,0.023530773,Jodhpur,Rajasthan,0,0,0,0,0,2.82E+08,0,9.25E+09,0,0,9.53E+09,4.17E-01,0,1.22E+08,5.33E-03,2.29E+10,9.04E+10,7.41E+02,9.68E+09,4.23E-01,3.53E+09,1084720,5125085,38.48293984,1.779423077,58.49208782,62.3534254,34.61169832,3.037325761,41.13830177,6.186251383,52.36879554,20.30551875,78.53624465,21.04493215,10.47539457,68.51187726,10.21799638,23.64368591,56.092377,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL
114,910766.58,0.018910183,394886.7176,0.008199005,Jaisalmer,Rajasthan,0,0,0,0,0,3.45E+08,0,1.14E+10,0,0,1.18E+10,3.06E-01,0,1.91E+07,4.96E-04,3.84E+10,2.04E+10,1.07E+03,2.57E+08,6.70E-03,2.64E+10,133892,615116,70.30070878,2.953764228,26.45362755,45.70460147,51.51790025,2.779475249,75.76528769,5.524593702,18.28787232,48.12222836,47.12464076,51.04022496,16.60262226,32.36313297,15.04009,17.85484364,48.08702749,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
115,1098343.119,0.031199669,272446.0275,0.007739135,Barmer,Rajasthan,0,0,0,0,0,3.90E+08,0,2.08E+10,0,0,2.12E+10,7.47E-01,0,4.96E+07,1.74E-03,2.84E+10,2.97E+10,6.00E+02,6.37E+09,2.24E-01,7.83E+08,484268,2257762,80.4157514,1.441966225,15.32557799,39.93206634,55.18474626,4.879993929,80.63749969,5.534444977,13.35392985,58.07668935,36.45771061,60.95552876,13.99617175,25.04864744,22.63586685,12.43678475,44.3006836,1. Under-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
116,191917.6372,0.014512099,44802.38431,0.00338779,Jalor,Rajasthan,0,0,0,0,0,1.35E+08,0,5.42E+08,0,0,6.77E+08,6.31E-02,0,3.70E+07,3.45E-03,1.07E+10,2.56E+10,6.93E+02,9.91E+09,9.24E-01,1.04E+08,354194,1641581,80.74717754,4.474316335,12.63351864,42.70059798,49.6133856,7.68617142,80.61917254,3.273403841,15.84794886,43.37664698,53.01780324,36.36293359,18.454971,45.17714332,29.17790837,13.6947857,42.32389386,2. Moderately-Developed,1. Under-Developed,3. Developed,1. Under-Developed,1. Under-Developed,2. High AL
117,118032.0389,0.018615552,24889.4549,0.003925468,Sirohi,Rajasthan,8369382.906,8146363.625,0,0,0,9.63E+07,7.63E+07,1.48E+08,2262653.031,2.90E+08,6.29E+08,1.22E-01,226140.375,1.99E+07,3.86E-03,5.16E+09,1.92E+10,9.66E+02,4.51E+09,8.74E-01,2670167.381,260240,1115799,63.44695089,6.645393483,29.68363434,53.42732132,41.630249,4.941054027,61.0579834,5.024136951,33.58182409,27.02381686,72.39183561,16.27103712,34.90773747,48.81024862,14.49024421,20.98469348,54.15509424,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement
118,299183.2353,0.019553449,66117.13333,0.004321158,Pali,Rajasthan,901871.4219,7941238.334,0,0,0,1.67E+08,4.25E+07,1.04E+08,0,1.08E+08,4.30E+08,3.48E-02,676381.3438,3.10E+07,2.51E-03,1.24E+10,3.78E+10,1.22E+03,1.19E+10,9.62E-01,4146308.318,506804,2138243,63.59579463,5.173419113,25.91363032,51.43258538,44.18785783,4.381710286,66.62217267,3.38296955,29.75926788,19.70739201,79.25463651,26.95880025,19.58110118,53.45938311,15.45469809,19.07463277,53.59596641,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement
119,364081.7033,0.034349139,77760.58039,0.00733629,Ajmer,Rajasthan,476145.046,911256.5137,0,0,0,1.51E+09,1.18E+07,2.43E+08,0,7261900.732,1.77E+09,2.08E-01,0,6.48E+07,7.61E-03,8.52E+09,4.85E+10,7.48E+02,6.66E+09,7.82E-01,2.23E+07,723741,3237295,42.94140639,0.523644785,55.43128149,61.1881926,36.80589769,2.005779277,46.44976725,3.401408239,49.80754275,12.71696822,86.73357872,13.07467975,22.92734473,64.00058971,10.3154331,26.2062926,55.42275264,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL
12,4101.156772,0.004981728,1787.254902,0.002171002,Pulwama,Jammu & Kashmir,259137.6124,620901.5,0,0,2.46E+07,5.74E+07,5.96E+07,1966145.855,804230.9569,3178454.222,1.48E+08,2.42E-01,0,6268747.238,1.02E-02,6.13E+08,1.85E+09,2.95E+02,4.58E+08,7.47E-01,409872.65,96892,529743,31.1336839,7.014558477,48.35461338,52.85707179,42.89381063,4.24665091,56.89743942,15.06554618,27.16043843,4.853102423,91.95392396,12.68690398,16.37926764,70.93525059,5.063021125,17.44034371,58.60917464,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement
120,351878.2031,0.039048603,61335.87451,0.00680656,Tonk,Rajasthan,2659074.267,0,0,1343659.734,0,3.79E+08,4489649.381,3.01E+07,0,3309983.377,4.21E+08,5.80E-02,1.97E+07,1.72E+07,2.37E-03,7.25E+09,1.71E+10,9.92E+02,6.78E+09,9.35E-01,9996061.678,326422,1515851,72.53392694,0.879736966,24.80547941,50.10248942,47.79466427,2.106870248,67.3982057,13.74626343,18.60555998,33.94381966,65.496045,12.86585402,54.94127173,32.18840611,22.37898052,16.76075023,49.66226892,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
121,252707.0876,0.036628962,64873.55686,0.009403183,Bundi,Rajasthan,1799780.734,1.12E+07,0,0,0,3.56E+08,1.52E+07,1.26E+08,0,9.20E+07,6.02E+08,1.08E-01,3513.533824,2.37E+07,4.24E-03,5.58E+09,2.02E+10,8.53E+02,4.96E+09,8.88E-01,224707.7188,284617,1236438,69.43553688,0.551983894,27.64284249,50.07128281,47.16237681,2.778233907,60.88853055,13.39227594,25.35243503,29.8605252,69.22948735,6.704683136,56.96999547,36.30827779,19.72739434,17.08884716,48.56248352,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
122,147135.9395,0.011376574,56621.20784,0.004377961,Bhilwara,Rajasthan,2471870.516,672271.375,0,0,0,1.88E+09,225287.5781,2.68E+08,0,6.61E+07,2.22E+09,2.12E-01,224262.0781,3.81E+07,3.64E-03,1.05E+10,3.49E+10,9.16E+02,8.20E+09,7.84E-01,224888.1406,602185,2491943,67.20451257,0.818297035,31.65733338,50.54606093,46.65115322,2.788923836,68.25615567,3.408186687,28.01291181,19.72799289,79.14453133,15.74469241,39.48768485,44.76752177,22.13064264,19.76907176,46.63533636,3. Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
123,462225.7009,0.078032656,77963.54118,0.013161757,Rajsamand,Rajasthan,3151880.094,8555137.992,0,0,0,7.02E+08,6.49E+07,6.46E+08,1369115.066,3.29E+08,1.76E+09,3.66E-01,901847.1875,6765647.547,1.41E-03,4.80E+09,2.95E+10,4.36E+03,3.03E+09,6.30E-01,1.25E+07,280278,1141443,72.70195627,0.340576856,25.85898536,48.38925353,48.27202706,3.341196241,75.43477298,2.751358651,21.53924925,17.87452494,81.14282784,19.14360992,39.60813193,41.24531822,16.67345632,19.93897199,46.05845408,3. Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
124,39267.05046,0.00850564,8288.247059,0.001795318,Dungarpur,Rajasthan,1.22E+07,2050601.313,0,0,0,9600905.702,1480845.991,1.94E+07,0,8.76E+07,1.32E+08,3.49E-02,3587102.957,7516295.938,1.99E-03,3.79E+09,1.17E+10,1.55E+03,3.64E+09,9.61E-01,3398205.24,300983,1224223,82.71559623,0.683087749,16.45192054,36.80842473,57.52460737,5.664041158,83.15732217,3.745662047,12.87638172,46.70674623,52.71111824,17.95042477,63.14184123,18.90415472,10.81918899,8.782550238,45.16701614,2. Moderately-Developed,2. Moderately-Developed,3. Developed,1. Under-Developed,1. Under-Developed,2. High AL
125,35971.50719,0.006559801,8576.823529,0.001564078,Banswara,Rajasthan,2.44E+07,1140412.109,0,456134.7813,684263.125,1.40E+07,1369082.141,9364515.712,348663.8392,6.49E+07,1.17E+08,2.59E-02,3.19E+07,1.58E+07,3.50E-03,4.51E+09,1.55E+10,9.84E+02,4.33E+09,9.61E-01,9329049.67,417002,1671888,78.93500727,0.322114043,20.59927674,31.96782246,60.18758399,7.844600985,72.7087201,10.01612103,16.7852617,58.20753426,41.0823526,16.27956724,66.57927252,17.14412617,25.79825921,10.75233508,40.49212627,1. Under-Developed,2. Moderately-Developed,3. Developed,1. Under-Developed,1. Under-Developed,2. High AL
126,336869.0105,0.035833783,72184.23137,0.007678457,Chittaurgarh,Rajasthan,1.72E+07,1.31E+07,0,3163751.531,2033513.219,6.66E+08,2.98E+07,6.58E+08,904373.5781,4.50E+08,1.84E+09,2.41E-01,1.23E+08,2.06E+07,2.69E-03,7.64E+09,4.18E+10,2.03E+03,5.65E+09,7.39E-01,1.03E+07,388905,1581802,71.00746609,0.431094483,28.32691891,50.73425387,46.22306579,3.045538885,69.42418688,4.352667618,25.8752878,14.59570049,84.40141731,5.450724984,46.20792816,48.3428408,30.02860029,17.19014137,42.77039731,3. Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
127,1567986.019,0.230868429,146753.2627,0.021607779,Kota,Rajasthan,620313.7979,225756.1094,0,0,0,6.05E+08,2466288.646,1.93E+08,225238.8438,1.79E+08,9.80E+08,1.78E-01,0,8.41E+07,1.53E-02,5.51E+09,4.39E+10,5.22E+02,4.44E+09,8.07E-01,904624.8438,641592,2726106,38.24614895,0.517487282,57.95237908,64.73634974,33.14623889,2.117991808,32.2279712,13.41830696,53.09622954,6.721688238,92.47020443,2.326327947,29.71699367,67.90845927,6.932122229,26.95328061,58.17473715,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL
128,307317.8172,0.036596058,49026.62353,0.005838194,Baran,Rajasthan,676945.5469,7456684.495,0,0,0,4.24E+08,2545829.453,1.50E+08,226068.5625,5.48E+08,1.13E+09,1.66E-01,0,1.93E+07,2.83E-03,6.82E+09,3.09E+10,1.60E+03,5.67E+09,8.31E-01,226283.6563,291308,1260448,75.44592459,0.568042759,22.47706139,52.07260254,45.24318934,2.679576599,55.4356214,24.43098027,19.83693548,27.56655155,71.50461299,8.940209675,59.06699404,31.98210142,20.79673259,13.24045101,49.45836718,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
129,129083.6644,0.016845421,39907.90196,0.005207982,Jhalawar,Rajasthan,4592645.39,5207545.781,0,0,0,7.61E+07,1359979.375,6.20E+07,0,2.73E+08,4.22E+08,6.75E-02,453688.5781,2.72E+07,4.35E-03,6.26E+09,2.98E+10,1.10E+03,5.80E+09,9.28E-01,1361025.281,328882,1401360,76.21644146,0.607612153,22.65981598,44.88721791,51.45255137,3.665091735,70.36804112,8.811231384,20.44050906,18.72424608,80.32101666,24.87683181,42.39219446,32.73181567,25.96527659,12.55794371,45.74905806,3. Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
13,1245.134561,0.001706982,427.7176471,0.000586367,Shupiyan,Jammu & Kashmir,414814.0469,0,0,0,4.60E+07,1.23E+08,6.18E+07,5117176.663,414931.125,5808695.391,2.42E+08,4.45E-01,0,2765294.021,5.08E-03,5.44E+08,3.04E+08,1.10E+02,2.99E+08,5.50E-01,9763.588235,46964,238965,37.29546887,13.1269334,46.38700494,60.92652244,33.32572396,5.746520739,67.137467,18.59252832,14.13594668,10.91380419,85.53933651,17.36778171,7.874586918,74.75051103,13.87860147,11.3840939,60.44692737,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement
130,814452.6836,0.055760629,91488.76863,0.00626368,Udaipur,Rajasthan,1.53E+07,2.42E+07,0,226930.7031,226875.8281,1.56E+08,5.31E+08,5.20E+08,5781284.275,2.36E+09,3.62E+09,3.04E-01,1.14E+07,5.13E+07,4.30E-03,1.19E+10,4.11E+10,8.03E+02,8.23E+09,6.91E-01,5641010.479,751089,3101228,64.42196837,0.397503358,35.03971527,50.00215381,47.11651349,2.879704269,65.06525658,3.282921997,31.41469733,33.48769041,65.86045768,22.11644079,44.18746793,33.68248876,14.00777369,18.74409105,49.19992983,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,1. High Unemployement
131,72938.22509,0.013856477,19159.59608,0.003639854,Pratapgarh,Rajasthan,1.22E+07,1.51E+07,0,0,0,3.05E+07,4.87E+07,4.83E+07,2927774.159,8.08E+08,9.66E+08,2.24E-01,1211446.418,7470597.04,1.73E-03,4.31E+09,1.03E+10,1.38E+03,3.33E+09,7.73E-01,3212301.027,193639,780357,83.93881346,0.214389147,15.56955572,40.60380089,57.08837218,2.310106435,79.90902556,4.974968885,14.84109245,54.18356581,45.26818719,26.20176359,55.70015596,18.09609531,35.92509582,8.99165382,34.95220777,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,2. High AL
132,40761.0524,0.008504553,10956,0.002285905,Saharanpur,Uttar Pradesh,3012097.156,860678.6875,0,0,0,4558115.863,2.28E+08,8469389.472,0,5.26E+07,2.97E+08,7.98E-02,0,8.80E+07,2.36E-02,3.72E+09,2.17E+10,2.47E+02,3.34E+09,8.97E-01,0,787069,3868525,33.41541491,11.59644135,52.29199562,53.4880844,42.05880069,4.454347586,41.91757864,23.75809173,34.08765979,25.07434075,74.28066015,1.650915485,58.70793145,39.62331663,11.54336601,18.44475608,64.94190938,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,3. Developed,3. Developed,1. High Unemployement
133,545120.4547,0.105036386,66485.21961,0.012810686,Muzaffarnagar,Uttar Pradesh,3085200.268,0,0,0,0,1954651.547,3055333.615,1.08E+07,216593.5781,650234.0313,1.98E+07,4.88E-03,0,1.50E+08,3.70E-02,4.05E+09,2.94E+10,1.96E+02,3.88E+09,9.58E-01,0,888016,4570045,27.61808143,8.616030004,60.80969419,50.46682425,45.56373939,3.982654592,19.32582048,51.57559729,28.74036875,38.04370766,60.75631025,1.828845426,62.40156754,35.77364057,13.35188166,17.51116236,63.71175776,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,3. Developed,1. High Unemployement
134,244247.5028,0.044199986,45917.55686,0.008309421,Bijnor,Uttar Pradesh,4335421.473,0,0,0,0,4352320.746,2.03E+08,4216050.422,0,6.61E+07,2.82E+08,6.52E-02,0,1.25E+08,2.89E-02,4.32E+09,1.51E+10,1.21E+02,3.91E+09,9.06E-01,217121.0313,805478,4000746,32.57670613,8.44741582,55.0265615,46.69877079,48.689302,4.612839953,53.86571551,18.38256029,27.35799488,49.7082361,49.70239572,1.546773469,59.00927151,39.43930374,11.37917778,15.61391301,65.55199955,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement
135,195069.5673,0.04229311,19449.78431,0.004216915,Moradabad,Uttar Pradesh,1091350.359,0,0,218015.5,0,218264.8438,0,0,0,555527.8064,2.08E+06,5.75E-04,0,1.45E+08,3.99E-02,3.63E+09,2.13E+10,1.47E+02,3.48E+09,9.60E-01,0,1069099,5337733,28.64842788,6.886976884,56.25619087,40.88135533,54.56580261,4.566960403,29.2649546,38.25227224,32.23399171,50.6153765,47.88683274,1.067757336,61.11033487,37.80075615,11.07247215,16.8993466,64.69952693,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,2. Moderately-Developed,3. Developed,1. High Unemployement
